Codigo,Descricao,NotaFiscal,DataVenda,WeekVenda,Quantidade,LinhaProduto,ClienteGrupo,Cliente,CentroCusto
1,ANEL SINCRONIZADOR D140,14218,2018-09-26,2018w39,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14248,2018-09-28,2018w39,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14251,2018-09-28,2018w39,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14275,2018-10-02,2018w40,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14309,2018-10-10,2018w41,2,1,1146,171,21320
1,ANEL SINCRONIZADOR D140,14314,2018-10-11,2018w41,4,1,1144,169,21320
1,ANEL SINCRONIZADOR D140,14324,2018-10-15,2018w42,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14349,2018-10-18,2018w42,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14368,2018-10-23,2018w43,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14370,2018-10-23,2018w43,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14412,2018-10-26,2018w43,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14449,2018-11-01,2018w44,2,1,1027,028,21320
1,ANEL SINCRONIZADOR D140,14457,2018-11-01,2018w44,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14470,2018-11-05,2018w45,2,1,1027,095,21320
1,ANEL SINCRONIZADOR D140,14475,2018-11-06,2018w45,2,1,1027,028,21320
1,ANEL SINCRONIZADOR D140,14517,2018-11-12,2018w46,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14534,2018-11-14,2018w46,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14536,2018-11-14,2018w46,2,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,14537,2018-11-14,2018w46,2,1,1144,169,21320
1,ANEL SINCRONIZADOR D140,14580,2018-11-27,2018w48,4,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14592,2018-11-29,2018w48,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14593,2018-11-29,2018w48,2,1,1144,169,21320
1,ANEL SINCRONIZADOR D140,14617,2018-12-04,2018w49,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14627,2018-12-05,2018w49,2,1,1167,192,21320
1,ANEL SINCRONIZADOR D140,14675,2018-12-12,2018w50,2,1,1027,095,21320
1,ANEL SINCRONIZADOR D140,14678,2018-12-12,2018w50,2,1,1013,096,21320
1,ANEL SINCRONIZADOR D140,14685,2018-12-13,2018w50,4,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,14719,2018-12-17,2018w51,2,1,1027,028,21320
1,ANEL SINCRONIZADOR D140,14756,2018-12-21,2018w51,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14757,2018-12-21,2018w51,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14758,2018-12-21,2018w51,4,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14811,2019-01-07,2019w02,1,1,1027,028,21320
1,ANEL SINCRONIZADOR D140,14832,2019-01-09,2019w02,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,14833,2019-01-09,2019w02,1,1,1167,192,21320
1,ANEL SINCRONIZADOR D140,14837,2019-01-09,2019w02,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14843,2019-01-10,2019w02,2,1,1027,028,21320
1,ANEL SINCRONIZADOR D140,14848,2019-01-11,2019w02,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,14850,2019-01-11,2019w02,1,1,1167,192,21320
1,ANEL SINCRONIZADOR D140,14853,2019-01-11,2019w02,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14867,2019-01-14,2019w03,10,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14872,2019-01-15,2019w03,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,14887,2019-01-17,2019w03,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,14890,2019-01-17,2019w03,2,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,14893,2019-01-17,2019w03,2,1,1027,095,21320
1,ANEL SINCRONIZADOR D140,14911,2019-01-18,2019w03,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,14938,2019-01-23,2019w04,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,14981,2019-01-29,2019w05,1,1,1027,028,21320
1,ANEL SINCRONIZADOR D140,14982,2019-01-29,2019w05,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14986,2019-01-29,2019w05,4,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,14992,2019-01-30,2019w05,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,15002,2019-01-31,2019w05,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,15024,2019-02-04,2019w06,10,1,1027,251,21320
1,ANEL SINCRONIZADOR D140,15040,2019-02-06,2019w06,4,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,15050,2019-02-08,2019w06,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,15084,2019-02-12,2019w07,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15101,2019-02-13,2019w07,20,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,15103,2019-02-14,2019w07,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,15106,2019-02-14,2019w07,2,1,1027,028,21320
1,ANEL SINCRONIZADOR D140,15118,2019-02-15,2019w07,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15120,2019-02-15,2019w07,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15128,2019-02-18,2019w08,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,15137,2019-02-18,2019w08,2,1,1146,171,21320
1,ANEL SINCRONIZADOR D140,15150,2019-02-19,2019w08,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15162,2019-02-20,2019w08,3,1,1260,299,21320
1,ANEL SINCRONIZADOR D140,15169,2019-02-20,2019w08,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,15177,2019-02-21,2019w08,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15201,2019-02-22,2019w08,1,1,1027,028,21320
1,ANEL SINCRONIZADOR D140,15252,2019-03-01,2019w09,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,15257,2019-03-01,2019w09,4,1,1013,232,21320
